https://book.douban.com/subject/25985021/, 人类简史 : 从动物到上帝 , [以色列]尤瓦尔·赫拉利 林俊宏 中信出版社 2014-11-1 CNY 68.00 ,9.2,十万年前，地球上至少有六种不同的人 但今日，世界舞台为什么只剩下了我们自己？ 从只能啃食虎狼吃剩的残骨的猿人，到跃居食物链顶端的智人， 从雪维洞穴壁上的原始... ,
https://book.douban.com/subject/26698660/, 巨人的陨落 : 世纪三部曲 , [英] 肯·福莱特 于大卫 江苏凤凰文艺出版社 2016-5-1 129.80元 ,9.0,在第一次世界大战的硝烟中，每一个迈向死亡的生命都在热烈地生长——威尔士的矿工少年、刚失恋的美国法律系大学生、穷困潦倒的俄国兄弟、富有英俊的英格兰伯爵，以及痴... ,
https://book.douban.com/subject/26704403/, 二手时间 , [白俄] S.A.阿列克谢耶维奇 吕宁思 中信出版社 2016-1 55.00元 ,8.8,2015年度诺贝尔文学奖得主阿列克谢耶维奇最具分量的作品 发表后荣获德国书业和平奖（2013）、法国美第契散文奖（2013）、俄罗斯「大书奖」读者票选最佳文... ,
https://book.douban.com/subject/1041482/, 万历十五年 , [美] 黄仁宇 生活·读书·新知三联书店 1997-5 18.00元 ,8.9,万历十五年，亦即公元1587年，在西欧历史上为西班牙舰队全部出动征英的前一年；而在中国，这平平淡淡的一年中，发生了若干为历史学家所易于忽视的事件。这些事件，... ,
https://book.douban.com/subject/26957760/, 世界的凛冬 : 世纪三部曲 2 , [英] 肯·福莱特 陈杰 江苏凤凰文艺出版社 2017-3-1 132.00（全三册） ,9.2,我亲眼目睹，每一个迈向死亡的生命都在热烈地生长。 全球读者平均3个通宵读完的超级小说《巨人的陨落》的续篇！ 火遍全球的20世纪人类史诗“世纪三部曲”第二部。... ,
https://book.douban.com/subject/1003479/, 中国历代政治得失 , 钱穆 生活·读书·新知三联书店 2001 12.00元 ,9.1,《中国历代政治得失》为作者的专题演讲合集，分别就中国汉、唐、宋、明、清五代的政府组织、百官职权、考试监察、财经赋税、兵役义务等种种政治制度作了提要勾玄的概观... ,
https://book.douban.com/subject/1813841/, 枪炮、病菌与钢铁 : 人类社会的命运 , [美] 贾雷德·戴蒙德 谢延光 上海世纪出版集团 2006-4-1 45.00元 ,8.8,为什么是欧亚大陆人征服、赶走或大批杀死印第安人、澳大利亚人和非洲人，而不是相反？为什么么小麦和玉米、牛和猪以及现代世界的其他一些“不了起的”作物和牲畜出现在... ,
https://book.douban.com/subject/26921196/, 北京的城墙与城门 , [瑞典] 喜仁龙（Osvald Sirén） 邓可 后浪丨北京联合出版公司 2017-2 99.80元 ,8.9,本书真实还原了20世纪 20 年代时遗存的北京城墙与城门。作者通过实地走访考察，被这些宏伟古迹的壮美所折服，也因其衰败的现状而叹息。除了在描写中投入艺术史家... ,
https://book.douban.com/subject/27000152/, 海洋与文明 , [美] 林肯·佩恩 陈建军、罗燚英 后浪丨天津人民出版社 2017-4 128.00元 ,8.8,一部海洋视角的世界史，一部关于航海者的史诗 本书荣获美国《选择》杂志2014年度“杰出学术著作奖” ……………… ※媒体推荐※ 尽管地球表面的70%都被水覆... ,
https://book.douban.com/subject/3239549/, 夹边沟记事 , 杨显惠 花城出版社 2008-09 34.00元 ,9.2,这是一段尘封四十年的历史，当年的幸存者散落在各个角落，没有人问过他们到底发生了什么，当年的死难者早已化为白骨，连他们的后代也不知道埋在何处。幸亏杨显惠这位有... ,
https://book.douban.com/subject/26853835/, 丝绸之路 : 一部全新的世界史 , [英] 彼得·弗兰科潘 邵旭东、孙芳 浙江大学出版社 2016-10-1 CNY 128.00 ,8.6,【内容简介】 · 两千年来，丝绸之路始终主宰着人类文明的进程。不同种族、不同信仰、不同文化背景的帝王、军队、商人、学者、僧侣、奴隶，往来在这条道路上，创造并... ,
https://book.douban.com/subject/1046492/, 國史大綱（上下） , 錢穆 商務印書館 2013-8 76.00元 ,9.3,這是一部中國通史，因用大學教科書體例寫成，不得不力求簡要，僅舉大納，刪其瑣節。內容於學術思想，政治制度，社會風氣，國際形勢，兼有顧及，惟但求其通為一體，明其... ,
https://book.douban.com/subject/26816981/, 十二幅地图中的世界史 , [英] 杰里·布罗顿（Jerry Brotton） 林盛 后浪出版公司·浙江人民出版社 2016-8 99.80元 ,8.6,【BBC纪录片】地图：权力 掠夺和占有 地图专家、《十二幅地图中的世界史》作者杰里·布罗顿（Jerry Brotton）教授向我们揭示地图的奥秘——地图是如... ,
https://book.douban.com/subject/3674537/, 明朝那些事儿（1-9） : 限量版 , 当年明月 中国海关出版社 2009-4 358.20元 ,9.2,《明朝那些事儿》讲述从1344年到1644年，明朝三百年间的历史。作品以史料为基础，以年代和具体人物为主线，运用小说的笔法，对明朝十七帝和其他王公权贵和小人... ,
